SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
19,0,0,10,protocol,7.5,300,411,1.37,0,0,0,0.928571,0.85,0.309091,0.17,0.10119,0.0653846,0.0653846,0.0653846,0.0653846,0.357606
20,0,0,10,protocol,7.5,320,412,1.2875,0,0,0,0.9,0.9,0.36,0.168224,0.105882,0.0671642,0.0671642,0.0671642,0.0671642,0.345941
21,0,0,10,protocol,7.5,330,459,1.39091,0,0,0,1,0.9,0.36,0.151261,0.105882,0.0666667,0.0666667,0.0666667,0.0666667,0.350089
22,0,0,10,protocol,7.5,350,486,1.38857,0,0,0,0.95,0.654762,0.458333,0.205224,0.144737,0.0975177,0.0975177,0.0975177,0.0975177,0.340422
23,0,0,10,protocol,7.5,370,528,1.42703,0,0,0,1,0.59,0.491667,0.21223,0.137209,0.0967213,0.0967213,0.0967213,0.0967213,0.340985
24,0,0,10,protocol,7.5,380,534,1.40526,0,0,0,1,0.6,0.447761,0.20339,0.123967,0.0909091,0.0909091,0.0909091,0.0909091,0.332553
25,0,0,10,protocol,7.5,400,541,1.3525,0,0,0,0.888889,0.575,0.383333,0.184492,0.118557,0.0877863,0.0877863,0.0877863,0.0877863,0.333193
26,0,0,10,protocol,7.5,420,600,1.42857,0,0,0,0.980769,0.791667,0.527778,0.25,0.159396,0.116279,0.116279,0.116279,0.116279,0.328903
27,0,0,10,protocol,7.5,440,600,1.36364,0,0,0,0.969697,0.910959,0.532,0.34456,0.218033,0.150794,0.150794,0.150794,0.150794,0.329864
28,0,0,10,protocol,7.5,450,583,1.29556,0,0,0,0.946429,0.81875,0.503846,0.303241,0.205975,0.142391,0.142391,0.142391,0.142391,0.323581
29,0,0,10,protocol,7.5,470,603,1.28298,0,0,0,1,0.827778,0.55597,0.298,0.20411,0.143822,0.143822,0.143822,0.143822,0.323877
30,0,0,10,protocol,7.5,490,603,1.23061,0,0,0,1,0.759091,0.488304,0.290941,0.214103,0.143225,0.143225,0.143225,0.143225,0.318057
31,0,0,10,protocol,7.5,510,567,1.11176,0,0,0,0.94898,0.651786,0.334862,0.221884,0.167048,0.108793,0.108793,0.108793,0.108793,0.319849
32,0,0,10,protocol,7.5,520,550,1.05769,0,0,0,0.975,0.633333,0.298039,0.209366,0.163793,0.109827,0.109827,0.109827,0.109827,0.315018
33,0,0,10,protocol,7.5,540,521,0.964815,6,6,1,0.941667,0.426415,0.216475,0.148294,0.11255,0.0803698,0.0803698,0.0803698,0.0803698,0.315213
34,0,0,10,protocol,7.5,560,577,1.03036,20,20,1,0.955357,0.414861,0.249071,0.161058,0.117958,0.0851875,0.0851875,0.0851875,0.0851875,0.310553
35,0,0,10,protocol,7.5,570,632,1.10877,36,36,1,0.944444,0.472222,0.287594,0.183894,0.129661,0.0944444,0.0944444,0.0944444,0.0944444,0.310795
36,0,0,10,protocol,7.5,590,676,1.14576,58,58,1,0.971154,0.497041,0.316981,0.20438,0.141058,0.102689,0.102689,0.102689,0.102689,0.308607
37,0,0,10,protocol,7.5,610,671,1.1,60,59,0.983333,0.961538,0.60119,0.386973,0.232184,0.165303,0.116898,0.116898,0.116898,0.116898,0.308767
38,0,0,10,protocol,7.5,630,762,1.20952,98,97,0.989796,0.939252,0.700957,0.442598,0.279314,0.20096,0.14398,0.14398,0.14398,0.14398,0.304928
39,0,0,10,protocol,7.5,650,780,1.2,76,75,0.986842,0.923664,0.679545,0.46142,0.278918,0.191176,0.136281,0.136281,0.136281,0.136281,0.305035
40,0,0,10,protocol,7.5,660,859,1.30152,44,43,0.977273,0.945946,0.738095,0.531153,0.303381,0.212329,0.14839,0.14839,0.14839,0.14839,0.301587
41,0,0,10,protocol,7.5,680,956,1.40588,40,40,1,0.987654,0.736735,0.543675,0.312825,0.219053,0.146036,0.146036,0.146036,0.146036,0.302729
42,0,0,10,protocol,7.5,700,977,1.39571,38,37,0.973684,0.945946,0.662879,0.495751,0.286885,0.198864,0.130548,0.130548,0.130548,0.130548,0.299793
43,0,0,10,protocol,7.5,710,946,1.33239,40,40,1,0.956835,0.630996,0.44186,0.29156,0.192785,0.121019,0.121019,0.121019,0.121019,0.29993
44,0,0,10,protocol,7.5,730,912,1.24932,59,57,0.966102,0.932143,0.616236,0.416979,0.26979,0.185762,0.116336,0.116336,0.116336,0.116336,0.297027
45,0,0,10,protocol,7.5,750,919,1.22533,100,92,0.92,0.906137,0.583893,0.369427,0.248571,0.171598,0.115003,0.115003,0.115003,0.115003,0.297127
46,0,0,10,protocol,7.5,760,936,1.23158,82,82,1,0.978571,0.576803,0.373225,0.257343,0.171642,0.117422,0.117422,0.117422,0.117422,0.295759
47,0,0,10,protocol,7.5,770,960,1.24675,82,80,0.97561,0.933121,0.619403,0.410891,0.276667,0.187528,0.128483,0.128483,0.128483,0.128483,0.295887
48,0,0,10,protocol,7.5,800,981,1.22625,66,64,0.969697,0.948485,0.675439,0.414722,0.278817,0.197015,0.136042,0.136042,0.136042,0.136042,0.293395
49,0,0,10,protocol,7.5,820,1009,1.23049,72,72,1,0.978659,0.673529,0.420183,0.265661,0.189256,0.135303,0.135303,0.135303,0.135303,0.293457
50,0,0,10,protocol,7.5,840,1053,1.25357,80,79,0.9875,0.982558,0.694134,0.416946,0.267204,0.193838,0.142244,0.142244,0.142244,0.142244,0.291151
51,0,0,10,protocol,7.5,850,1100,1.29412,88,88,1,0.960843,0.693548,0.428571,0.281659,0.195159,0.145025,0.145025,0.145025,0.145025,0.291818
52,0,0,10,protocol,7.5,870,1078,1.23908,106,102,0.962264,0.935484,0.678295,0.405093,0.257605,0.178389,0.137291,0.137291,0.137291,0.137291,0.28978
53,0,0,10,protocol,7.5,890,1102,1.2382,138,138,1,0.960106,0.668798,0.383431,0.243709,0.166454,0.129104,0.129104,0.129104,0.129104,0.289858
54,0,0,10,protocol,7.5,910,1080,1.18681,154,146,0.948052,0.947368,0.651478,0.37894,0.246735,0.166562,0.128773,0.128773,0.128773,0.128773,0.287863
55,0,0,10,protocol,7.5,920,1055,1.14674,146,145,0.993151,0.974093,0.635338,0.367925,0.231507,0.151615,0.12037,0.12037,0.12037,0.12037,0.287957
56,0,0,10,protocol,7.5,940,1051,1.11809,124,124,1,0.954762,0.59838,0.360028,0.224978,0.146376,0.11734,0.11734,0.11734,0.11734,0.287105
57,0,0,10,protocol,7.5,950,1040,1.09474,129,129,1,0.966587,0.602064,0.353297,0.210759,0.143208,0.111678,0.111678,0.111678,0.111678,0.287189
58,0,0,10,protocol,7.5,970,1093,1.1268,141,137,0.971631,0.958874,0.645455,0.391724,0.228479,0.149121,0.11858,0.11858,0.11858,0.11858,0.285445
59,0,0,10,protocol,7.5,980,1125,1.14796,122,121,0.991803,0.947727,0.695249,0.424929,0.234558,0.155039,0.124249,0.124249,0.124249,0.124249,0.285513
60,0,0,10,protocol,7.5,1000,1126,1.126,154,153,0.993506,0.965675,0.655435,0.417012,0.216517,0.149851,0.119501,0.119501,0.119501,0.119501,0.28389
