SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
19,0,0,10,protocol,7.5,300,413,1.37667,0,0,0,0.928571,0.85,0.309091,0.17,0.10119,0.0653846,0.0653846,0.0653846,0.0653846,0.270045
20,0,0,10,protocol,7.5,320,412,1.2875,0,0,0,0.95,0.925,0.37,0.172897,0.108824,0.0690299,0.0690299,0.0690299,0.0690299,0.264824
21,0,0,10,protocol,7.5,330,461,1.39697,0,0,0,1,0.925,0.37,0.155462,0.108824,0.0685185,0.0685185,0.0685185,0.0685185,0.26042
22,0,0,10,protocol,7.5,350,488,1.39429,0,0,0,0.975,0.666667,0.466667,0.208955,0.147368,0.0992908,0.0992908,0.0992908,0.0992908,0.256639
23,0,0,10,protocol,7.5,370,528,1.42703,0,0,0,1,0.6,0.5,0.215827,0.139535,0.0983607,0.0983607,0.0983607,0.0983607,0.253388
24,0,0,10,protocol,7.5,380,532,1.4,0,0,0,1,0.6,0.447761,0.20339,0.123967,0.0909091,0.0909091,0.0909091,0.0909091,0.250605
25,0,0,10,protocol,7.5,400,544,1.36,0,0,0,0.888889,0.583333,0.388889,0.187166,0.120275,0.0890585,0.0890585,0.0890585,0.0890585,0.248194
26,0,0,10,protocol,7.5,420,600,1.42857,0,0,0,0.980769,0.8,0.533333,0.252632,0.161074,0.117503,0.117503,0.117503,0.117503,0.246105
27,0,0,10,protocol,7.5,440,601,1.36591,0,0,0,0.969697,0.90411,0.528,0.341969,0.216393,0.14966,0.14966,0.14966,0.14966,0.244291
28,0,0,10,protocol,7.5,450,580,1.28889,0,0,0,0.910714,0.80625,0.496154,0.298611,0.20283,0.140217,0.140217,0.140217,0.140217,0.242716
29,0,0,10,protocol,7.5,470,604,1.28511,0,0,0,1,0.827778,0.55597,0.298,0.20411,0.143822,0.143822,0.143822,0.143822,0.241343
30,0,0,10,protocol,7.5,490,603,1.23061,0,0,0,1,0.759091,0.488304,0.290941,0.214103,0.143225,0.143225,0.143225,0.143225,0.240145
31,0,0,10,protocol,7.5,510,570,1.11765,0,0,0,0.938776,0.647321,0.332569,0.220365,0.165904,0.108048,0.108048,0.108048,0.108048,0.262995
32,0,0,10,protocol,7.5,520,550,1.05769,0,0,0,0.975,0.629167,0.296078,0.207989,0.162716,0.109104,0.109104,0.109104,0.109104,0.260715
33,0,0,10,protocol,7.5,540,523,0.968519,6,6,1,0.941667,0.426415,0.216475,0.148294,0.11255,0.0803698,0.0803698,0.0803698,0.0803698,0.258652
34,0,0,10,protocol,7.5,560,576,1.02857,20,20,1,0.964286,0.414861,0.249071,0.161058,0.117958,0.0851875,0.0851875,0.0851875,0.0851875,0.256782
35,0,0,10,protocol,7.5,570,635,1.11404,36,36,1,0.935185,0.469136,0.285714,0.182692,0.128814,0.0938272,0.0938272,0.0938272,0.0938272,0.255097
36,0,0,10,protocol,7.5,590,671,1.13729,58,58,1,0.951923,0.491124,0.313208,0.201946,0.139379,0.101467,0.101467,0.101467,0.101467,0.253564
37,0,0,10,protocol,7.5,610,675,1.10656,60,59,0.983333,0.976923,0.607143,0.390805,0.234483,0.166939,0.118056,0.118056,0.118056,0.118056,0.252169
38,0,0,10,protocol,7.5,630,765,1.21429,98,97,0.989796,0.939252,0.703349,0.444109,0.280267,0.201646,0.144472,0.144472,0.144472,0.144472,0.250896
39,0,0,10,protocol,7.5,650,782,1.20308,76,75,0.986842,0.919847,0.679545,0.46142,0.278918,0.191176,0.136281,0.136281,0.136281,0.136281,0.249735
40,0,0,10,protocol,7.5,660,864,1.30909,44,43,0.977273,0.952703,0.742424,0.534268,0.30516,0.213574,0.14926,0.14926,0.14926,0.14926,0.248679
41,0,0,10,protocol,7.5,680,957,1.40735,40,40,1,0.984568,0.734694,0.542169,0.311958,0.218447,0.145631,0.145631,0.145631,0.145631,0.247713
42,0,0,10,protocol,7.5,700,985,1.40714,38,38,1,0.952703,0.666667,0.498584,0.288525,0.2,0.131294,0.131294,0.131294,0.131294,0.246828
43,0,0,10,protocol,7.5,710,949,1.33662,40,40,1,0.956835,0.634686,0.444444,0.293265,0.193912,0.121727,0.121727,0.121727,0.121727,0.246018
44,0,0,10,protocol,7.5,730,908,1.24384,59,57,0.966102,0.928571,0.612546,0.414482,0.268174,0.18465,0.115639,0.115639,0.115639,0.115639,0.245275
45,0,0,10,protocol,7.5,750,927,1.236,100,91,0.91,0.898917,0.580537,0.367304,0.247143,0.170611,0.114342,0.114342,0.114342,0.114342,0.244592
46,3.584,7,10,protocol,7.5,760,936,1.23158,82,82,1,0.985714,0.579937,0.375254,0.258741,0.172575,0.11806,0.11806,0.11806,0.11806,0.260168
47,0.512,1,10,protocol,7.5,770,964,1.25195,82,80,0.97561,0.933121,0.616418,0.408911,0.275333,0.186624,0.127864,0.127864,0.127864,0.127864,0.259568
48,0,0,10,protocol,7.5,800,979,1.22375,66,64,0.969697,0.945455,0.672515,0.412926,0.27761,0.196162,0.135453,0.135453,0.135453,0.135453,0.259054
49,0,0,10,protocol,7.5,820,1010,1.23171,72,72,1,0.978659,0.673529,0.420183,0.265661,0.189256,0.135303,0.135303,0.135303,0.135303,0.258547
50,0,0,10,protocol,7.5,840,1055,1.25595,80,79,0.9875,0.985465,0.696927,0.418624,0.26828,0.194618,0.142816,0.142816,0.142816,0.142816,0.258098
51,0,0,10,protocol,7.5,850,1107,1.30235,88,88,1,0.963855,0.698925,0.431894,0.283843,0.196672,0.14615,0.14615,0.14615,0.14615,0.25766
52,0,0,10,protocol,7.5,870,1080,1.24138,106,102,0.962264,0.938172,0.680879,0.406636,0.258587,0.179069,0.137814,0.137814,0.137814,0.137814,0.257242
53,0,0,10,protocol,7.5,890,1105,1.24157,138,138,1,0.962766,0.671355,0.384897,0.244641,0.167091,0.129598,0.129598,0.129598,0.129598,0.256843
54,0,0,10,protocol,7.5,910,1079,1.18571,154,146,0.948052,0.95,0.649015,0.377507,0.245802,0.165932,0.128286,0.128286,0.128286,0.128286,0.256461
55,0,0,10,protocol,7.5,920,1060,1.15217,146,145,0.993151,0.976684,0.640351,0.370827,0.233333,0.152811,0.12132,0.12132,0.12132,0.12132,0.256101
56,0,0,10,protocol,7.5,940,1052,1.11915,124,124,1,0.954762,0.59838,0.360028,0.224978,0.146376,0.11734,0.11734,0.11734,0.11734,0.255755
57,0,0,10,protocol,7.5,950,1033,1.08737,129,127,0.984496,0.957041,0.597477,0.350606,0.209153,0.142117,0.110827,0.110827,0.110827,0.110827,0.255429
58,0,0,10,protocol,7.5,970,1095,1.12887,141,137,0.971631,0.95671,0.645455,0.391724,0.228479,0.149121,0.11858,0.11858,0.11858,0.11858,0.255116
59,0,0,10,protocol,7.5,980,1131,1.15408,122,121,0.991803,0.943182,0.698725,0.427054,0.235731,0.155814,0.124871,0.124871,0.124871,0.124871,0.254819
60,0,0,10,protocol,7.5,1000,1119,1.119,154,152,0.987013,0.956522,0.651087,0.414246,0.215081,0.148857,0.118708,0.118708,0.118708,0.118708,0.254533
